cve_ent,Entidad,Pollutant,Cause,crf_type,Reference,attributable_deaths,attrib_fraction_pct,rate_per_100k,population_at_risk
01,Aguascalientes,PM25,All-cause,non-linear,eschif+fusion,440,8,51,859992
04,Campeche,PM25,All-cause,non-linear,eschif+fusion,433,9,77,561015
10,Durango,PM25,All-cause,non-linear,eschif+fusion,424,5,40,1072523
18,Nayarit,PM25,All-cause,non-linear,eschif+fusion,401,7,53,755026
06,Colima,PM25,All-cause,non-linear,eschif+fusion,358,8,77,467657
03,Baja California Sur,PM25,All-cause,non-linear,eschif+fusion,175,5,33,527692
15,Estado de México,PM25,Cardiovascular disease,lineal,orellano_2024,6303,25,60,10562795
09,Ciudad de México,PM25,Cardiovascular disease,lineal,orellano_2024,5474,27,86,6337060
30,Veracruz,PM25,Cardiovascular disease,lineal,orellano_2024,2284,12,46,4933631
14,Jalisco,PM25,Cardiovascular disease,lineal,orellano_2024,1817,12,35,5159420
21,Puebla,PM25,Cardiovascular disease,lineal,orellano_2024,1610,13,41,3881075
11,Guanajuato,PM25,Cardiovascular disease,lineal,orellano_2024,1408,13,38,3689951
19,Nuevo León,PM25,Cardiovascular disease,lineal,orellano_2024,1280,12,34,3765863
07,Chiapas,PM25,Cardiovascular disease,lineal,orellano_2024,1090,13,37,2976828
16,Michoacán,PM25,Cardiovascular disease,lineal,orellano_2024,997,13,36,2797877
13,Hidalgo,PM25,Cardiovascular disease,lineal,orellano_2024,969,18,50,1919261
20,Oaxaca,PM25,Cardiovascular disease,lineal,orellano_2024,760,9,32,2405118
02,Baja California,PM25,Cardiovascular disease,lineal,orellano_2024,743,13,30,2483333
17,Morelos,PM25,Cardiovascular disease,lineal,orellano_2024,711,18,57,1239560
27,Tabasco,PM25,Cardiovascular disease,lineal,orellano_2024,703,15,50,1406926
24,San Luis Potosí,PM25,Cardiovascular disease,lineal,orellano_2024,630,11,37,1709358
08,Chihuahua,PM25,Cardiovascular disease,lineal,orellano_2024,537,8,23,2363199
28,Tamaulipas,PM25,Cardiovascular disease,lineal,orellano_2024,533,9,24,2228284
22,Querétaro,PM25,Cardiovascular disease,lineal,orellano_2024,492,14,32,1548350
05,Coahuila,PM25,Cardiovascular disease,lineal,orellano_2024,421,7,22,1944444
31,Yucatán,PM25,Cardiovascular disease,lineal,orellano_2024,393,8,26,1505851
12,Guerrero,PM25,Cardiovascular disease,lineal,orellano_2024,370,9,19,1940296
26,Sonora,PM25,Cardiovascular disease,lineal,orellano_2024,335,6,18,1858606
29,Tlaxcala,PM25,Cardiovascular disease,lineal,orellano_2024,334,15,41,807892
25,Sinaloa,PM25,Cardiovascular disease,lineal,orellano_2024,276,7,15,1881064
04,Campeche,PM25,Cardiovascular disease,lineal,orellano_2024,190,11,34,561015
32,Zacatecas,PM25,Cardiovascular disease,lineal,orellano_2024,177,7,19,936732
10,Durango,PM25,Cardiovascular disease,lineal,orellano_2024,166,5,15,1072523
01,Aguascalientes,PM25,Cardiovascular disease,lineal,orellano_2024,133,9,16,859992
23,Quintana Roo,PM25,Cardiovascular disease,lineal,orellano_2024,131,7,11,1215708
18,Nayarit,PM25,Cardiovascular disease,lineal,orellano_2024,131,8,17,755026
06,Colima,PM25,Cardiovascular disease,lineal,orellano_2024,118,10,25,467657
03,Baja California Sur,PM25,Cardiovascular disease,lineal,orellano_2024,58,5,11,527692
