cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
25,Sinaloa,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,321,122.62,69.55,150.98,0.382
25,Sinaloa,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,322,83.69,18.29,134.7,0.2599
25,Sinaloa,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1306,435.29,198.2,616.9,0.3333
25,Sinaloa,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,12274,642.68,443.07,839.47,0.0524
25,Sinaloa,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,4060,276.59,226.18,325.24,0.0681
25,Sinaloa,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,12274,642.21,442.74,838.87,0.0523
25,Sinaloa,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,4060,276.4,226.03,325.02,0.0681
26,Sonora,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16120,239.86,145.94,331.25,0.0149
26,Sonora,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,405,4.83,2.45,7.14,0.0119
26,Sonora,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5449,78.28,47.63,122.73,0.0144
26,Sonora,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3456,48.98,29.8,76.79,0.0142
26,Sonora,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16120,237.82,144.69,328.44,0.0148
26,Sonora,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,405,4.79,2.43,7.08,0.0118
26,Sonora,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5449,77.61,47.22,121.69,0.0142
26,Sonora,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3456,48.56,29.54,76.14,0.0141
26,Sonora,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,405,166.32,95.3,203.54,0.4107
26,Sonora,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,405,114.01,25.19,181.68,0.2815
26,Sonora,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1923,686.42,315.54,964.6,0.357
26,Sonora,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,405,166.45,95.38,203.68,0.411
26,Sonora,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,405,114.11,25.22,181.81,0.2818
26,Sonora,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1923,686.96,315.83,965.26,0.3572
26,Sonora,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16120,751.9,518.38,982.12,0.0466
26,Sonora,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5449,336.22,275.01,395.29,0.0617
26,Sonora,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16120,748.76,516.18,978.11,0.0464
26,Sonora,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5449,334.76,273.79,393.6,0.0614
27,Tabasco,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,13021,180.54,109.71,249.62,0.0139
27,Tabasco,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,241,2.66,1.35,3.94,0.011
27,Tabasco,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,4600,63.29,38.46,99.39,0.0138
27,Tabasco,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3016,40.58,24.66,63.73,0.0135
27,Tabasco,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,13021,195.8,119.02,270.64,0.015
27,Tabasco,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,241,2.9,1.47,4.29,0.012
27,Tabasco,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,4600,68.64,41.72,107.75,0.0149
27,Tabasco,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3016,43.99,26.74,69.06,0.0146
27,Tabasco,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,241,90.65,51.31,111.76,0.3761
27,Tabasco,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,241,61.57,13.42,99.31,0.2555
27,Tabasco,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,814,266.36,120.97,378.34,0.3272
27,Tabasco,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,241,92.55,52.53,113.91,0.384
27,Tabasco,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,241,62.99,13.77,101.33,0.2614
27,Tabasco,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,814,272.17,123.97,385.59,0.3344
27,Tabasco,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,13021,1527.23,1064.46,1973.32,0.1173
27,Tabasco,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,4600,697.14,574.95,813.05,0.1516
27,Tabasco,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,13021,1540.57,1073.95,1990.2,0.1183
27,Tabasco,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,4600,703.11,579.96,819.9,0.1529
28,Tamaulipas,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16774,250.97,152.54,346.92,0.015
28,Tamaulipas,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,330,3.82,1.94,5.66,0.0116
28,Tamaulipas,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5841,86.03,52.29,135.07,0.0147
28,Tamaulipas,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3773,54.74,33.27,85.95,0.0145
28,Tamaulipas,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16774,265.2,161.22,366.52,0.0158
28,Tamaulipas,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,330,4.02,2.04,5.96,0.0122
28,Tamaulipas,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5841,90.75,55.16,142.43,0.0155
28,Tamaulipas,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3773,57.63,35.03,90.45,0.0153
